,id,price,property_type,room_type,listing_duration,hosting_duration,calculated_host_listings_count,guests_included,extra_people,availability_365,availability_60,total_amenities,Pool,Family/kid friendly,Dryer,TV,Breakfast,Smoke detector,Free parking on premises,Paid parking on premises,Essentials,Pets allowed,Shampoo,Gym,Suitable for events,Free street parking,Laptop friendly workspace,minimum_nights,maximum_nights,neighbourhood_group_cleansed,number_of_reviews_ltm,reviews_per_month,review_scores_location,review_scores_cleanliness,review_scores_accuracy,review_scores_value,latitude,longitude
2052,19681895,199,Serviced apartment,Entire home/apt,502.0,733.0,20,1,0,346,41,38,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,6,1125,West Region,13,0.95,9.0,10.0,10.0,9.0,1.29977,103.76426
2053,19683255,60,Apartment,Shared room,0.0,775.0,1,1,0,174,53,21,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,30,Central Region,0,0.05,10.0,10.0,10.0,10.0,1.27648,103.83792
2054,19685674,108,Serviced apartment,Private room,289.0,687.0,15,1,0,333,28,24,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,3,1125,Central Region,5,0.46,10.0,10.0,10.0,10.0,1.32287,103.85204
2055,19714010,65,Apartment,Private room,574.0,715.0,1,1,35,117,2,15,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1125,West Region,6,0.57,10.0,9.0,10.0,10.0,1.34409,103.71869
2056,19720477,108,Tourism,Private room,400.0,807.0,3,1,0,365,60,15,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,2,1125,North-East Region,1,0.21,9.0,8.0,9.0,9.0,1.36435,103.86375
2057,19726141,54,Condominium,Private room,339.0,1590.0,1,1,35,290,8,33,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,100,East Region,8,0.66,10.0,10.0,10.0,10.0,1.32581,103.90829
2058,19731540,69,House,Private room,244.0,2527.0,34,1,10,91,60,22,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1125,Central Region,2,0.25,9.0,10.0,8.0,10.0,1.28094,103.78361
2059,19741381,56,Apartment,Private room,680.0,1318.0,10,2,22,137,16,18,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1059,Central Region,4,0.52,10.0,8.0,9.0,9.0,1.32306,103.85498
2060,19746238,125,Condominium,Entire home/apt,3.0,924.0,1,2,30,0,0,29,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,7,21,East Region,0,0.09,10.0,9.0,10.0,10.0,1.32589,103.90699
2061,19751695,88,Other,Private room,141.0,1323.0,1,1,18,0,0,14,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1125,North Region,0,0.3,9.0,10.0,9.0,9.0,1.45111,103.82765
2062,19758048,43,Condominium,Private room,42.0,69.0,1,1,0,0,0,14,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,East Region,0,0.17,8.0,9.0,10.0,9.0,1.31141,103.93891
2063,19772238,56,Apartment,Private room,248.0,1720.0,5,1,25,333,28,26,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,3,1125,West Region,1,0.11,9.0,8.0,10.0,9.0,1.31029,103.76358
2064,19773521,70,Condominium,Private room,0.0,299.0,1,1,0,1,1,22,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,7,1125,East Region,0,0.07,10.0,10.0,10.0,10.0,1.31342,103.90675
2065,19774490,35,Apartment,Private room,0.0,1392.0,73,1,10,324,19,30,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,18,365,Central Region,0,0.04,10.0,10.0,10.0,10.0,1.30857,103.86269
2066,19777121,297,Hotel,Private room,0.0,1774.0,19,8,28,341,42,18,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1125,Central Region,1,0.16,10.0,10.0,10.0,8.0,1.31069,103.86125
2067,19780831,190,Apartment,Entire home/apt,654.0,1134.0,277,2,30,297,23,35,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,30,1125,Central Region,3,1.17,9.0,10.0,10.0,10.0,1.30554,103.90064
2068,19790710,88,Apartment,Entire home/apt,0.0,795.0,1,1,0,0,0,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,90,1125,Central Region,0,0.04,10.0,10.0,10.0,10.0,1.31318,103.87997
2069,19794582,150,Serviced apartment,Entire home/apt,417.0,1847.0,193,1,20,320,15,19,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,3,1125,Central Region,1,0.13,9.0,9.0,8.0,7.0,1.32444,103.85233
2070,19797480,287,Hotel,Private room,477.0,1943.0,19,7,28,352,47,14,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1125,Central Region,2,0.18,10.0,10.0,10.0,9.0,1.31079,103.85931
2071,19798538,256,Hotel,Private room,79.0,1352.0,19,1,0,352,47,19,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1125,Central Region,0,0.09,9.0,9.0,9.0,9.0,1.31245,103.85952
2072,19799435,50,Condominium,Private room,345.0,351.0,1,2,20,297,0,23,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,2,1125,West Region,1,0.68,9.0,9.0,10.0,9.0,1.37745,103.74565
2073,19800389,290,Tourism,Entire home/apt,195.0,677.0,277,2,30,24,0,45,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,30,1125,West Region,0,0.74,9.0,9.0,10.0,10.0,1.31496,103.75717
2074,19801431,35,Apartment,Private room,0.0,1837.0,73,1,10,354,49,30,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,18,365,Central Region,1,0.11,10.0,10.0,10.0,10.0,1.30957,103.8607
2075,19801615,210,Condominium,Entire home/apt,159.0,680.0,1,3,40,180,59,20,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,90,90,Central Region,0,1.28,10.0,10.0,10.0,10.0,1.27637,103.84355
2076,19831199,130,Townhouse,Entire home/apt,675.0,1020.0,10,2,35,237,12,29,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,3,1125,Central Region,33,2.71,10.0,10.0,10.0,9.0,1.30307,103.85025
2077,19832720,290,Condominium,Entire home/apt,0.0,280.0,11,1,0,365,60,14,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,1125,West Region,0,0.04,6.0,10.0,10.0,10.0,1.31617,103.75728
2078,19832956,320,Condominium,Entire home/apt,69.0,347.0,11,1,0,365,60,15,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,3,1125,West Region,0,0.13,6.0,9.0,7.0,6.0,1.31038,103.7607
2079,19834053,200,Condominium,Entire home/apt,0.0,336.0,11,1,0,365,60,15,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,3,1125,Central Region,0,0.05,10.0,8.0,10.0,10.0,1.28031,103.78575
2080,19837897,58,Apartment,Private room,631.0,1276.0,10,2,25,59,28,42,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1095,Central Region,6,0.48,9.0,9.0,9.0,9.0,1.32185,103.85386
2081,19838603,56,Apartment,Private room,541.0,1188.0,10,2,25,91,60,39,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1000,Central Region,8,0.48,9.0,9.0,9.0,9.0,1.32192,103.85624
2082,19847774,138,Hostel,Private room,96.0,1207.0,10,1,0,322,30,32,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1125,Central Region,2,0.24,10.0,8.0,10.0,8.0,1.28435,103.84477
2083,19848045,99,Apartment,Private room,0.0,592.0,14,1,0,365,60,14,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1125,Central Region,0,0.04,10.0,10.0,10.0,10.0,1.28839,103.80955
2084,19856273,68,Apartment,Private room,0.0,956.0,1,1,27,264,53,43,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,30,West Region,0,0.07,10.0,10.0,10.0,10.0,1.32303,103.73898
2085,19881239,192,Hostel,Private room,0.0,1044.0,10,1,0,346,41,19,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1125,Central Region,1,0.09,10.0,10.0,10.0,8.0,1.28286,103.84582
2086,19901171,139,Apartment,Entire home/apt,412.0,757.0,7,2,12,0,0,29,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1125,Central Region,34,3.02,10.0,10.0,10.0,9.0,1.31095,103.85263
